Product_ID,Product_Category,Retail_Price,Seasonal,Material,Color,Units_Sold
78290,Electronics,17.48,No,Plastic,Black,5
91769,Sports,467.61,No,Leather,Yellow,5
17096,Home & Garden,312.17,No,Wood,Green,97
65168,Home & Garden,107.82,No,Leather,Green,54
7816,Electronics,58.16,Yes,Wood,Yellow,56
38289,Home & Garden,294.28,No,Cotton,Yellow,35
67894,Clothing,210.47,Yes,Leather,Blue,9
40467,Sports,161.56,No,Leather,Green,11
56118,Health,481.35,Yes,Wood,White,14
90572,Clothing,222.02,No,Plastic,Red,29
75785,Health,407.95,Yes,Metal,Blue,73
28773,Electronics,71.51,Yes,Plastic,Black,91
72424,Health,102.28,Yes,Cotton,Black,81
67649,Sports,443.74,Yes,Plastic,Black,18
56047,Electronics,215.4,Yes,Leather,Blue,7
26098,Home & Garden,250.89,Yes,Cotton,Blue,17
88491,Clothing,495.66,No,Plastic,Black,62
91698,Home & Garden,83.26,No,Metal,Red,43
6959,Home & Garden,56.3,No,Leather,Blue,38
67765,Health,255.14,No,Metal,Blue,82
51619,Electronics,458.29,Yes,Metal,Black,77
25672,Health,366.29,Yes,Cotton,White,92
64435,Sports,158.24,No,Cotton,Yellow,41
85602,Home & Garden,159.96,No,Metal,White,78
65034,Health,278.06,Yes,Metal,Yellow,98
25567,Electronics,332.66,Yes,Cotton,Yellow,90
563,Health,409.5,Yes,Metal,White,90
87308,Electronics,116.63,No,Leather,Red,38
1927,Health,426.76,No,Metal,Green,75
48895,Sports,208.09,Yes,Plastic,Red,74
33263,Electronics,416.42,No,Wood,Green,79
99737,Sports,294.62,Yes,Metal,White,86
40066,Home & Garden,311.81,Yes,Cotton,Black,55
4071,Home & Garden,344.79,Yes,Metal,White,41
159,Electronics,84.02,Yes,Wood,Green,29
96721,Health,410.04,Yes,Leather,Black,92
12911,Electronics,276.33,Yes,Wood,Red,27
62926,Sports,85.31,No,Cotton,White,50
62326,Home & Garden,220.51,No,Plastic,Green,33
39084,Sports,369.33,No,Leather,Red,16
13239,Electronics,438.5,Yes,Wood,White,22
80744,Electronics,164.89,No,Metal,White,74
52505,Clothing,36.43,Yes,Metal,Black,52
19208,Electronics,161.64,Yes,Cotton,Blue,6
82071,Electronics,187.2,No,Metal,Yellow,89
40530,Sports,456.86,No,Cotton,Red,69
217,Sports,121.54,No,Wood,Blue,72
3477,Clothing,244.83,No,Leather,Yellow,74
99999,Sports,149.26,No,Wood,White,53
68843,Home & Garden,88.01,Yes,Plastic,Green,36
57500,Electronics,251.01,Yes,Plastic,White,70
35717,Health,418.95,No,Leather,Green,40
97355,Electronics,322.71,Yes,Wood,White,19
62945,Home & Garden,454.62,Yes,Cotton,Red,46
57565,Sports,435.41,No,Cotton,Red,58
55700,Health,53.41,Yes,Wood,Yellow,51
3832,Clothing,62.7,Yes,Metal,Yellow,85
39395,Clothing,495.72,No,Plastic,Green,6
77974,Electronics,483.81,Yes,Cotton,Red,83
87543,Sports,349.75,No,Metal,Yellow,62
73383,Electronics,17.1,Yes,Wood,Blue,92
23032,Sports,390.49,Yes,Wood,White,98
14405,Home & Garden,161.64,No,Metal,Red,52
5669,Health,250.04,Yes,Leather,White,10
42570,Home & Garden,473.73,No,Metal,White,7
27076,Sports,439.76,No,Leather,Red,39
686,Electronics,121.67,Yes,Cotton,Red,94
35792,Sports,131.18,Yes,Wood,Yellow,64
91446,Home & Garden,111.04,No,Metal,Black,95
41382,Sports,22.05,No,Plastic,Green,2
73834,Clothing,189.84,No,Cotton,Blue,68
95800,Clothing,189.13,No,Metal,Red,24
78900,Home & Garden,160.15,Yes,Cotton,Blue,27
14743,Health,319.38,Yes,Leather,Black,72
27429,Sports,409.28,Yes,Plastic,Green,58
73557,Sports,473.81,Yes,Cotton,Blue,94
20483,Electronics,113.89,Yes,Cotton,Green,63
49424,Electronics,47.57,No,Wood,Blue,87
92862,Electronics,34.15,No,Wood,Green,37
12732,Health,346.03,Yes,Cotton,Blue,97
93707,Home & Garden,23.23,No,Plastic,Blue,67
30030,Clothing,353.42,Yes,Metal,Black,67
40512,Electronics,114.84,Yes,Leather,Red,33
13014,Sports,482.58,Yes,Leather,Red,60
21925,Electronics,336.85,Yes,Plastic,Green,87
45241,Electronics,128.95,No,Plastic,Black,33
68908,Electronics,301.99,No,Plastic,Black,14
85610,Clothing,293.84,No,Metal,Yellow,42
30938,Home & Garden,199.45,No,Cotton,Red,20
3550,Electronics,269.23,Yes,Wood,Red,21
31338,Electronics,392.94,No,Wood,White,89
83951,Health,15.85,Yes,Metal,Blue,11
90279,Home & Garden,107.22,No,Plastic,Green,16
6582,Sports,66.05,Yes,Cotton,Red,27
77772,Health,294.14,Yes,Wood,Red,80
63477,Electronics,105.3,Yes,Cotton,White,29
71346,Sports,363.96,No,Wood,Green,59
67077,Sports,161.42,No,Metal,White,57
59010,Electronics,167.17,Yes,Wood,Red,48
29898,Home & Garden,472.08,Yes,Wood,White,74
50945,Clothing,428.48,No,Wood,White,86
79867,Sports,412.36,Yes,Wood,Yellow,60
24245,Clothing,351.67,Yes,Metal,Blue,45
53688,Clothing,257.39,No,Wood,Black,93
21201,Sports,415.4,No,Metal,Blue,73
90846,Clothing,373.61,No,Plastic,White,27
52837,Clothing,90.34,No,Wood,Green,76
7380,Health,474.97,Yes,Plastic,Green,83
48939,Home & Garden,367.23,No,Wood,Blue,5
19540,Electronics,211.88,No,Plastic,Yellow,50
42218,Sports,340.7,Yes,Leather,Black,3
2815,Sports,183.04,Yes,Plastic,Blue,96
89299,Home & Garden,141.98,Yes,Leather,Red,56
70206,Electronics,344.75,Yes,Cotton,Blue,75
36284,Clothing,31.49,Yes,Plastic,White,94
39717,Sports,124.42,Yes,Wood,White,36
43039,Health,19.13,No,Leather,Red,56
64408,Electronics,19.87,No,Cotton,White,20
78421,Health,203.44,No,Wood,White,99
35428,Home & Garden,292.76,Yes,Metal,Blue,73
56776,Sports,44.3,No,Plastic,Red,35
15232,Home & Garden,337.66,Yes,Wood,Blue,11
4346,Electronics,390.72,No,Leather,Blue,3
35983,Health,455.37,Yes,Metal,White,99
30636,Clothing,253.12,No,Plastic,Green,8
12364,Sports,472.99,No,Wood,White,23
52026,Electronics,377.78,Yes,Metal,Blue,60
30489,Clothing,433.43,Yes,Leather,Red,77
62237,Electronics,247.72,No,Leather,White,36
35726,Sports,91.57,Yes,Plastic,Green,58
85256,Clothing,34.08,Yes,Cotton,Black,84
19624,Clothing,221.33,No,Wood,Black,53
97576,Health,466.0,Yes,Cotton,White,6
34886,Health,444.76,Yes,Metal,Yellow,34
79178,Electronics,164.29,No,Cotton,Black,2
17603,Health,13.83,No,Leather,Blue,52
59178,Clothing,390.1,Yes,Wood,White,15
89635,Clothing,326.75,No,Metal,Green,26
28727,Home & Garden,215.58,No,Plastic,Blue,27
80058,Clothing,202.94,No,Wood,White,19
95580,Health,217.18,No,Leather,White,97
15098,Clothing,498.48,No,Wood,White,94
80236,Home & Garden,391.77,Yes,Metal,Blue,43
19934,Clothing,309.65,Yes,Cotton,Black,68
42101,Health,239.45,Yes,Wood,Red,61
41484,Electronics,72.62,Yes,Wood,Blue,10
32591,Home & Garden,79.62,Yes,Metal,Yellow,47
833,Clothing,441.75,Yes,Cotton,Red,22
32842,Sports,490.3,No,Metal,Black,48
5288,Home & Garden,268.61,Yes,Wood,Green,49
83812,Home & Garden,106.61,Yes,Leather,Green,83
13671,Electronics,326.53,No,Wood,Yellow,22
51377,Home & Garden,265.83,No,Cotton,Blue,35
78904,Health,120.03,No,Cotton,White,91
36890,Electronics,320.16,Yes,Wood,White,26
32006,Sports,470.07,No,Leather,Green,78
72048,Clothing,82.45,Yes,Metal,Blue,89
5939,Clothing,463.24,No,Metal,Blue,74
17411,Clothing,226.03,Yes,Wood,Yellow,48
75369,Sports,420.04,No,Plastic,Red,16
79754,Clothing,105.14,Yes,Metal,Red,60
36264,Home & Garden,242.09,Yes,Metal,Green,42
19898,Health,305.31,No,Plastic,White,6
35605,Health,457.44,No,Metal,Yellow,41
75567,Electronics,105.41,Yes,Leather,Green,11
88017,Clothing,44.57,Yes,Leather,Blue,65
50762,Home & Garden,187.57,Yes,Leather,Blue,43
61497,Clothing,29.37,Yes,Wood,Black,31
46144,Clothing,74.93,Yes,Leather,White,55
20115,Clothing,17.75,Yes,Plastic,Yellow,46
15335,Home & Garden,463.63,No,Wood,White,84
91296,Home & Garden,208.95,Yes,Leather,Black,74
65544,Home & Garden,449.4,No,Cotton,Red,72
67909,Electronics,438.71,No,Cotton,White,32
91668,Electronics,175.81,Yes,Leather,Red,36
70150,Health,470.82,No,Leather,White,44
13793,Home & Garden,185.63,Yes,Wood,Red,86
53553,Home & Garden,455.53,No,Leather,Yellow,11
52299,Health,231.11,No,Wood,Green,62
45354,Health,145.64,Yes,Cotton,Black,85
27855,Health,119.03,Yes,Metal,Green,2
14963,Home & Garden,493.9,Yes,Metal,Green,25
45183,Sports,286.83,No,Plastic,Black,5
85492,Home & Garden,411.04,Yes,Metal,Green,97
45034,Electronics,272.51,Yes,Wood,Red,91
14201,Electronics,213.14,No,Plastic,Yellow,49
41986,Sports,87.26,No,Cotton,Yellow,83
49725,Sports,458.7,No,Metal,Black,10
92277,Home & Garden,365.62,Yes,Leather,Black,42
69921,Home & Garden,462.08,No,Cotton,Black,55
16646,Health,464.1,No,Metal,Blue,53
63385,Sports,484.46,No,Leather,Yellow,87
47921,Health,465.94,Yes,Wood,Black,90
52298,Electronics,461.71,No,Leather,Green,46
89308,Home & Garden,249.0,Yes,Leather,Red,46
16438,Electronics,149.84,No,Leather,White,81
63545,Electronics,222.45,Yes,Cotton,Black,28
8149,Electronics,481.7,No,Cotton,Blue,52
3601,Sports,254.71,No,Cotton,Yellow,45
58964,Health,26.25,No,Plastic,Red,68
82482,Home & Garden,398.9,No,Wood,Red,40
65253,Health,451.77,Yes,Plastic,White,59
31613,Health,253.97,Yes,Plastic,White,42
61919,Sports,114.44,No,Metal,White,17
94563,Home & Garden,113.68,No,Wood,Black,52
82777,Sports,186.54,No,Leather,Black,13
49189,Sports,245.11,No,Cotton,Yellow,29
57052,Sports,349.44,No,Metal,Yellow,68
9496,Clothing,368.65,No,Metal,White,21
57122,Health,405.67,Yes,Wood,Yellow,68
46531,Clothing,381.13,No,Plastic,Yellow,13
78002,Clothing,325.93,Yes,Leather,White,13
58723,Sports,287.55,No,Metal,Green,94
87226,Health,391.84,No,Cotton,Yellow,27
36337,Electronics,249.02,Yes,Wood,Yellow,94
31765,Electronics,296.83,No,Cotton,Blue,28
15892,Health,458.96,No,Leather,Black,50
11557,Sports,421.87,Yes,Leather,Red,51
67708,Clothing,397.75,Yes,Metal,Red,81
76403,Home & Garden,173.52,No,Leather,Black,98
11425,Electronics,488.95,No,Plastic,Red,63
8625,Clothing,192.59,No,Cotton,Blue,71
11869,Home & Garden,323.88,No,Plastic,White,47
16203,Electronics,333.01,Yes,Metal,White,82
82375,Home & Garden,353.4,No,Wood,Green,58
36761,Home & Garden,51.71,Yes,Metal,Black,85
63271,Electronics,312.75,No,Wood,White,97
94507,Electronics,396.96,No,Plastic,Yellow,9
47967,Electronics,99.82,Yes,Leather,Black,60
28994,Home & Garden,159.15,Yes,Plastic,Yellow,26
45806,Electronics,35.81,Yes,Plastic,Yellow,62
93122,Sports,19.71,Yes,Cotton,Green,20
34400,Clothing,413.14,No,Wood,Red,7
10020,Clothing,239.42,No,Wood,Yellow,49
88576,Electronics,131.36,No,Wood,White,41
94879,Electronics,302.53,No,Plastic,Green,68
7518,Sports,14.09,Yes,Metal,Green,3
37326,Clothing,295.66,Yes,Wood,White,10
56296,Sports,226.16,No,Wood,White,92
13528,Clothing,202.57,Yes,Wood,Blue,13
36268,Electronics,450.89,Yes,Plastic,Black,31
26873,Sports,187.52,No,Plastic,Green,24
66602,Health,316.28,Yes,Leather,White,9
61314,Health,170.75,No,Cotton,Yellow,71
58856,Sports,221.77,Yes,Leather,Black,21
48943,Home & Garden,168.44,No,Leather,White,39
20116,Electronics,257.94,Yes,Leather,Green,78
51885,Clothing,307.42,Yes,Wood,Black,72
4677,Home & Garden,97.51,Yes,Wood,Yellow,66
80912,Electronics,370.48,No,Cotton,Black,70
49602,Clothing,443.7,Yes,Cotton,Yellow,69
355,Clothing,273.46,Yes,Cotton,Blue,76
94182,Health,344.38,Yes,Metal,Red,50
93907,Sports,284.01,Yes,Wood,Black,40
61463,Sports,267.91,No,Cotton,White,15
10566,Home & Garden,436.59,Yes,Leather,Black,1
76582,Sports,214.65,No,Leather,White,37
25850,Sports,221.99,Yes,Plastic,Red,89
92560,Home & Garden,61.55,Yes,Cotton,White,40
29542,Home & Garden,416.38,No,Cotton,Yellow,9
79223,Electronics,362.74,Yes,Plastic,Yellow,85
49222,Home & Garden,418.4,Yes,Leather,Yellow,57
22454,Home & Garden,366.0,Yes,Wood,Red,81
21835,Sports,97.88,Yes,Wood,Red,87
86766,Clothing,18.21,Yes,Wood,Black,48
95118,Clothing,304.82,Yes,Wood,Yellow,77
9883,Electronics,188.81,Yes,Plastic,Black,54
47056,Electronics,269.36,No,Plastic,Black,83
80080,Sports,397.45,Yes,Metal,Red,50
15162,Home & Garden,138.6,No,Metal,Red,54
63690,Electronics,256.75,No,Plastic,Green,53
87765,Health,311.06,Yes,Metal,Yellow,13
17239,Clothing,465.8,Yes,Wood,Yellow,10
89661,Health,177.99,Yes,Plastic,Red,18
5531,Health,337.18,No,Cotton,White,26
28764,Electronics,44.98,No,Metal,White,62
75059,Home & Garden,372.52,No,Plastic,Blue,72
7498,Electronics,94.03,No,Leather,Yellow,46
22653,Electronics,385.85,Yes,Wood,White,22
58702,Health,389.87,Yes,Metal,Black,16
23262,Clothing,156.42,No,Wood,Red,60
69603,Electronics,207.72,Yes,Wood,Blue,24
70162,Home & Garden,14.07,Yes,Metal,White,99
41978,Home & Garden,458.45,Yes,Cotton,Green,80
14118,Sports,174.98,No,Plastic,Blue,89
74340,Sports,490.0,No,Plastic,Red,59
90122,Clothing,450.06,No,Cotton,Yellow,5
89941,Electronics,18.0,No,Plastic,Green,41
32917,Sports,420.66,No,Metal,Black,49
75417,Health,309.79,No,Leather,Yellow,42
33321,Electronics,301.71,Yes,Metal,Yellow,93
62689,Sports,357.51,Yes,Wood,Red,62
77104,Home & Garden,469.18,No,Cotton,Blue,70
9404,Clothing,413.98,Yes,Wood,Black,29
26617,Sports,467.83,No,Cotton,Yellow,70
11513,Clothing,223.24,No,Plastic,Red,27
10416,Clothing,408.09,Yes,Wood,White,10
1933,Sports,26.69,No,Cotton,Black,69
37883,Clothing,29.43,Yes,Wood,Green,93
37461,Health,42.96,Yes,Plastic,Red,2
97278,Sports,166.36,Yes,Metal,Blue,43
80402,Electronics,229.6,Yes,Leather,Green,76
40992,Health,423.72,Yes,Cotton,Black,60
30115,Home & Garden,119.0,No,Leather,Red,69
52267,Sports,151.66,Yes,Plastic,Black,57
7615,Health,185.42,No,Leather,Blue,71
42242,Sports,349.25,No,Leather,White,4
8589,Home & Garden,35.03,Yes,Cotton,Green,57
63305,Health,193.52,Yes,Metal,Black,49
4681,Clothing,317.0,No,Leather,Black,45
83320,Home & Garden,488.6,Yes,Wood,Green,65
77767,Home & Garden,136.87,No,Plastic,Black,5
52417,Home & Garden,314.11,No,Plastic,Green,99
78430,Electronics,77.43,Yes,Metal,Blue,75
96810,Sports,50.5,No,Wood,Blue,54
35624,Clothing,33.98,Yes,Leather,Red,70
92435,Health,440.12,No,Plastic,Blue,60
5655,Home & Garden,327.82,No,Plastic,Yellow,76
86039,Clothing,475.17,No,Plastic,Red,7
84954,Electronics,376.37,No,Leather,Yellow,18
41475,Health,150.22,No,Leather,Blue,58
70134,Clothing,368.08,No,Leather,Red,94
45014,Sports,164.16,Yes,Metal,Yellow,53
25290,Clothing,481.4,Yes,Wood,Yellow,65
84393,Health,158.05,Yes,Wood,Green,75
24318,Home & Garden,232.06,Yes,Wood,Blue,61
52378,Home & Garden,396.77,No,Metal,Blue,7
45334,Electronics,487.53,Yes,Plastic,Green,57
39464,Clothing,50.95,Yes,Wood,Yellow,37
90053,Home & Garden,185.09,No,Plastic,Blue,82
21476,Clothing,475.12,Yes,Plastic,Green,17
38109,Clothing,88.97,Yes,Metal,Yellow,18
20764,Health,28.78,Yes,Cotton,Red,89
37377,Sports,355.05,Yes,Wood,Green,91
18389,Clothing,396.24,No,Leather,Black,13
64765,Health,150.36,Yes,Cotton,Red,32
50548,Sports,60.34,No,Leather,Black,91
4373,Electronics,350.21,Yes,Leather,White,82
647,Home & Garden,487.46,No,Metal,Blue,3
62717,Home & Garden,352.91,Yes,Plastic,Green,84
28067,Electronics,379.04,No,Cotton,Yellow,58
34533,Electronics,152.61,No,Wood,Yellow,74
99687,Sports,133.28,Yes,Leather,Green,51
12955,Clothing,434.96,No,Leather,Green,42
62483,Home & Garden,15.97,No,Metal,Red,55
7529,Clothing,90.59,No,Plastic,White,21
93410,Clothing,472.3,Yes,Metal,Blue,85
69497,Health,464.74,No,Wood,Blue,75
6276,Clothing,197.0,No,Leather,White,95
80251,Home & Garden,476.15,No,Metal,Red,12
56103,Home & Garden,414.26,Yes,Metal,Red,14
13805,Sports,165.51,Yes,Wood,Red,90
96290,Sports,331.19,No,Leather,Black,65
26355,Clothing,326.48,Yes,Plastic,Blue,58
71243,Home & Garden,66.94,Yes,Cotton,Black,39
86897,Health,293.32,No,Wood,Yellow,69
34037,Clothing,75.02,Yes,Metal,Black,19
68136,Health,386.25,No,Metal,White,84
92438,Clothing,12.68,No,Metal,Black,26
54042,Home & Garden,422.98,No,Metal,Red,1
41333,Electronics,299.92,No,Cotton,Green,88
27092,Health,409.61,Yes,Wood,Green,79
98452,Health,291.7,No,Metal,White,2
11236,Clothing,252.7,No,Plastic,Green,98
99905,Sports,113.32,Yes,Wood,Blue,90
86765,Sports,416.97,No,Metal,Yellow,89
37131,Sports,488.01,No,Metal,White,76
35990,Sports,53.54,No,Metal,White,31
445,Health,236.47,Yes,Cotton,White,46
232,Electronics,395.26,Yes,Metal,White,94
29867,Clothing,239.24,Yes,Cotton,Red,81
42162,Health,65.07,No,Leather,Red,17
93479,Sports,370.95,Yes,Metal,Black,26
61958,Health,464.47,No,Metal,White,74
58244,Home & Garden,68.0,Yes,Cotton,Black,41
77296,Home & Garden,196.48,No,Leather,Yellow,93
50916,Sports,313.51,Yes,Leather,Black,88
97010,Electronics,157.32,No,Cotton,Green,49
79712,Health,17.72,No,Wood,Black,91
72850,Clothing,170.91,Yes,Plastic,Red,73
20153,Health,476.1,No,Cotton,Black,78
329,Clothing,310.78,Yes,Metal,Blue,72
47207,Health,222.46,No,Metal,Blue,80
25825,Home & Garden,157.08,No,Leather,Blue,14
57063,Sports,488.28,No,Wood,White,24
9007,Clothing,456.26,Yes,Plastic,Black,87
64504,Health,308.39,Yes,Wood,White,16
87495,Home & Garden,472.41,No,Leather,Red,16
8678,Electronics,250.89,No,Wood,Black,44
15770,Electronics,349.69,Yes,Plastic,White,25
16639,Clothing,127.94,Yes,Wood,Black,53
14593,Home & Garden,402.58,Yes,Wood,White,69
81935,Electronics,29.09,No,Plastic,White,21
94304,Health,499.01,No,Leather,Red,37
34026,Health,144.74,No,Metal,Green,16
71260,Home & Garden,492.11,Yes,Plastic,White,89
44811,Sports,291.57,No,Plastic,Green,45
72264,Home & Garden,418.99,Yes,Leather,White,95
90305,Health,55.25,No,Metal,Green,15
70290,Health,467.57,No,Metal,Blue,73
29330,Clothing,111.4,Yes,Wood,Red,38
57010,Health,372.71,No,Metal,Green,25
67369,Health,383.12,No,Plastic,Blue,5
71910,Health,402.9,Yes,Metal,Yellow,56
84732,Clothing,399.86,No,Leather,Blue,23
69179,Health,319.04,Yes,Metal,Yellow,22
53250,Electronics,492.21,Yes,Metal,Black,62
14395,Electronics,379.63,Yes,Wood,Blue,14
1801,Home & Garden,263.74,Yes,Plastic,Blue,70
24523,Clothing,167.48,Yes,Wood,Green,85
60569,Electronics,264.4,Yes,Plastic,Black,14
393,Health,473.72,Yes,Leather,Blue,78
44344,Clothing,273.58,Yes,Leather,White,40
58110,Sports,71.82,No,Leather,Green,74
93762,Electronics,10.84,No,Leather,Black,96
98903,Health,172.4,Yes,Cotton,White,46
38573,Home & Garden,359.09,Yes,Cotton,Red,49
56475,Clothing,87.76,Yes,Cotton,Blue,48
24412,Sports,297.66,Yes,Leather,Black,56
34929,Home & Garden,179.31,Yes,Cotton,Blue,3
40288,Electronics,138.36,Yes,Wood,Green,46
72157,Clothing,59.1,Yes,Metal,Blue,11
27113,Electronics,64.38,Yes,Leather,Green,43
90090,Health,408.5,Yes,Metal,Green,97
86061,Clothing,390.21,Yes,Wood,Blue,40
71441,Clothing,321.21,Yes,Cotton,Green,96
91627,Sports,39.02,No,Leather,White,70
40484,Electronics,44.82,Yes,Cotton,Green,17
85799,Home & Garden,119.97,Yes,Wood,White,78
99615,Clothing,69.0,No,Leather,Red,95
51007,Electronics,230.36,No,Plastic,Red,32
55057,Sports,60.94,Yes,Wood,White,59
52534,Clothing,220.63,No,Metal,White,6
88438,Electronics,285.72,No,Wood,Red,81
32876,Health,451.37,Yes,Plastic,Red,5
63196,Electronics,287.38,Yes,Metal,Black,78
7041,Home & Garden,44.82,Yes,Cotton,Blue,1
76098,Health,303.73,No,Metal,Yellow,16
32643,Electronics,188.31,Yes,Metal,Green,18
52739,Electronics,157.98,No,Wood,Red,46
95158,Home & Garden,411.3,No,Wood,Black,1
46741,Sports,58.79,No,Cotton,Black,69
64058,Health,242.13,No,Cotton,Yellow,64
97494,Health,139.81,No,Wood,Green,66
13225,Home & Garden,386.51,No,Wood,Black,96
34170,Home & Garden,205.26,Yes,Plastic,White,91
75640,Sports,173.92,Yes,Wood,White,16
12252,Electronics,301.28,No,Cotton,Black,18
43079,Clothing,196.87,No,Leather,Red,22
11184,Clothing,450.05,No,Metal,Red,47
43521,Health,89.28,No,Cotton,Green,40
42056,Sports,375.61,Yes,Wood,Red,36
31093,Clothing,356.83,No,Metal,Red,54
88168,Home & Garden,268.48,Yes,Metal,Green,49
71985,Health,196.55,Yes,Cotton,Green,5
52829,Health,182.64,No,Leather,Red,63
8743,Electronics,490.27,Yes,Leather,Yellow,59
2478,Clothing,62.42,Yes,Metal,Red,66
36541,Electronics,163.2,No,Cotton,Red,58
79460,Clothing,162.85,Yes,Cotton,White,6
67458,Clothing,72.58,Yes,Cotton,Red,21
10908,Clothing,319.32,Yes,Leather,Black,52
99218,Home & Garden,254.06,No,Cotton,Green,63
9885,Home & Garden,248.9,No,Leather,Black,44
49682,Home & Garden,202.04,Yes,Plastic,Blue,27
13512,Home & Garden,275.3,Yes,Leather,Blue,45
56971,Clothing,110.82,Yes,Leather,Yellow,64
6364,Clothing,406.79,No,Metal,Yellow,48
78894,Home & Garden,235.24,Yes,Metal,Yellow,73
52180,Electronics,458.84,Yes,Wood,Red,60
43516,Home & Garden,93.54,Yes,Wood,White,43
80031,Clothing,390.93,No,Leather,Blue,68
86676,Sports,300.44,Yes,Wood,White,25
80652,Sports,246.45,Yes,Cotton,Yellow,32
15802,Clothing,151.36,No,Plastic,Blue,87
40814,Sports,75.05,Yes,Cotton,Black,47
7807,Health,164.27,No,Leather,Black,41
66048,Clothing,31.9,Yes,Cotton,Black,24
65347,Health,167.19,Yes,Leather,Yellow,21
17167,Sports,429.34,Yes,Wood,Green,88
10266,Home & Garden,422.91,No,Plastic,Green,8
43335,Electronics,201.64,Yes,Leather,Black,22
35142,Clothing,172.26,No,Leather,Black,5
40381,Health,311.23,Yes,Wood,Black,36
55094,Sports,460.31,Yes,Leather,White,53
14739,Clothing,309.66,No,Wood,White,76
62531,Electronics,59.28,Yes,Wood,Red,79
41408,Sports,36.93,Yes,Cotton,Red,50
36524,Sports,224.9,Yes,Leather,Black,35
72442,Health,61.5,No,Leather,White,5
29424,Home & Garden,257.96,Yes,Leather,Blue,61
4127,Health,288.22,Yes,Cotton,Green,90
77339,Sports,73.02,No,Metal,Black,88
40889,Clothing,148.52,Yes,Plastic,White,11
17131,Health,166.36,No,Wood,Green,31
12376,Sports,30.1,No,Plastic,Blue,81
12992,Home & Garden,27.04,No,Cotton,Blue,84
18905,Clothing,207.3,Yes,Metal,Black,1
37296,Sports,120.36,Yes,Cotton,Yellow,73
98511,Sports,348.47,No,Cotton,Black,8
58483,Home & Garden,364.49,No,Metal,Green,64
2735,Sports,470.14,Yes,Wood,White,63
4987,Health,243.7,Yes,Wood,Yellow,45
90749,Home & Garden,352.92,No,Cotton,White,84
31226,Clothing,55.49,Yes,Cotton,Blue,54
86969,Sports,212.01,No,Wood,Black,50
57941,Electronics,295.15,Yes,Leather,Blue,92
51256,Sports,288.02,No,Wood,White,90
49441,Home & Garden,342.06,No,Wood,Blue,46
66279,Electronics,147.5,No,Plastic,White,10
6543,Clothing,321.32,Yes,Cotton,Green,31
22710,Sports,281.66,Yes,Leather,Blue,23
50294,Health,288.28,Yes,Metal,White,55
8763,Sports,46.76,No,Metal,Green,13
25646,Sports,420.83,Yes,Wood,Yellow,79
42603,Home & Garden,12.92,Yes,Metal,Yellow,85
26828,Clothing,68.76,No,Wood,White,67
22282,Health,182.0,No,Leather,Blue,92
58331,Home & Garden,207.38,No,Leather,Yellow,15
44100,Electronics,474.26,Yes,Wood,White,30
40210,Electronics,168.83,Yes,Metal,Red,89
